DATETIME,INDEX,CNT
20181102220000,1,120
20181102221000,2,304
20181102222000,3,230
20181102223000,4,98
20181102224000,5,106
20181102225000,6,144
20181102230000,7,395
20181102231000,8,194
20181102232000,9,36
20181102233000,10,145
20181102234000,11,294
20181102235000,12,159
20181103000000,13,200
20181103001000,14,325
20181103002000,15,151
20181103003000,16,90
20181103004000,17,232
20181103005000,18,105
20181103010000,19,321
20181103011000,20,207
20181103012000,21,186
20181103013000,22,96
20181103014000,23,163
20181103015000,24,335
20181103020000,25,215
20181103021000,26,152
20181103022000,27,242
20181103023000,28,141
20181103024000,29,71
20181103025000,30,455
